,N,C,time,sinks
0,50,1,0.0012164115905761719,True
1,50,1,0.0009851455688476562,False
2,60,1,0.0009250640869140625,True
3,60,1,0.001089334487915039,False
4,70,1,0.001007080078125,True
5,70,1,0.0011191368103027344,False
6,80,1,0.0010623931884765625,True
7,80,1,0.0014514923095703125,False
8,90,1,0.0013704299926757812,True
9,90,1,0.0014832019805908203,False
10,100,1,0.0013971328735351562,True
11,100,1,0.0015935897827148438,False
12,110,1,0.001669168472290039,True
13,110,1,0.002089977264404297,False
14,120,1,0.0017609596252441406,True
15,120,1,0.002905607223510742,False
16,130,1,0.0018639564514160156,True
17,130,1,0.0020859241485595703,False
18,140,1,0.0018768310546875,True
19,140,1,0.00264739990234375,False
20,150,1,0.0020978450775146484,True
21,150,1,0.0027267932891845703,False
22,160,1,0.0027561187744140625,True
23,160,1,0.002511262893676758,False
24,170,1,0.002340555191040039,True
25,170,1,0.002773761749267578,False
26,180,1,0.002420186996459961,True
27,180,1,0.0029528141021728516,False
28,190,1,0.002833843231201172,True
29,190,1,0.003322601318359375,False
30,200,1,0.0027666091918945312,True
31,200,1,0.0032041072845458984,False
32,210,1,0.00286865234375,True
33,210,1,0.003286123275756836,False
34,220,1,0.003043651580810547,True
35,220,1,0.0035483837127685547,False
36,230,1,0.0032243728637695312,True
37,230,1,0.0036454200744628906,False
38,240,1,0.0033304691314697266,True
39,240,1,0.0038890838623046875,False
40,250,1,0.0035109519958496094,True
41,250,1,0.004047393798828125,False
42,260,1,0.003657817840576172,True
43,260,1,0.004265785217285156,False
44,270,1,0.004100322723388672,True
45,270,1,0.0048296451568603516,False
46,280,1,0.0039021968841552734,True
47,280,1,0.004886627197265625,False
48,290,1,0.0046846866607666016,True
49,290,1,0.004727602005004883,False
50,300,1,0.004503488540649414,True
51,300,1,0.005118608474731445,False
52,310,1,0.004267454147338867,True
53,310,1,0.005827188491821289,False
54,320,1,0.004876613616943359,True
55,320,1,0.005434751510620117,False
56,330,1,0.00478816032409668,True
57,330,1,0.005414724349975586,False
58,340,1,0.005191802978515625,True
59,340,1,0.005897045135498047,False
60,350,1,0.005221843719482422,True
61,350,1,0.005746126174926758,False
62,360,1,0.005551338195800781,True
63,360,1,0.006534099578857422,False
64,370,1,0.005789995193481445,True
65,370,1,0.007529020309448242,False
66,380,1,0.005937099456787109,True
67,380,1,0.006917715072631836,False
68,390,1,0.006018161773681641,True
69,390,1,0.007246255874633789,False
70,400,1,0.006215333938598633,True
71,400,1,0.0073392391204833984,False
72,410,1,0.006421089172363281,True
73,410,1,0.007571697235107422,False
74,420,1,0.0066034793853759766,True
75,420,1,0.007752656936645508,False
76,430,1,0.006616353988647461,True
77,430,1,0.007744789123535156,False
78,440,1,0.006958961486816406,True
79,440,1,0.008006811141967773,False
80,450,1,0.006976604461669922,True
81,450,1,0.008016586303710938,False
