,filename,nodes,n,c,time
567,gnp_uniform_mpg_196_3_3.edgelist.gz,196,196,3,0.1162685810122639
568,gnp_uniform_mpg_196_3_4.edgelist.gz,196,196,3,11.519052607007325
569,gnp_uniform_mpg_196_3_5.edgelist.gz,196,196,3,11.033462797990069
570,gnp_uniform_mpg_196_3_6.edgelist.gz,196,196,3,11.059103586012498
571,gnp_uniform_mpg_196_3_7.edgelist.gz,196,196,3,3.9931766689987853
572,gnp_uniform_mpg_196_3_8.edgelist.gz,196,196,3,0.5161975490045734
573,gnp_uniform_mpg_196_3_9.edgelist.gz,196,196,3,0.10463209697627462
574,gnp_uniform_mpg_225_1_0.edgelist.gz,225,225,1,3.8534950249886606
575,gnp_uniform_mpg_225_1_1.edgelist.gz,225,225,1,3.601599838992115
576,gnp_uniform_mpg_225_1_2.edgelist.gz,225,225,1,0.11662392999278381
577,gnp_uniform_mpg_225_1_3.edgelist.gz,225,225,1,3.901812258991413
578,gnp_uniform_mpg_225_1_4.edgelist.gz,225,225,1,3.4196825720136985
579,gnp_uniform_mpg_225_1_5.edgelist.gz,225,225,1,3.7085838290222455
580,gnp_uniform_mpg_225_1_6.edgelist.gz,225,225,1,4.074805247975746
581,gnp_uniform_mpg_225_1_7.edgelist.gz,225,225,1,3.547503962996416
582,gnp_uniform_mpg_225_1_8.edgelist.gz,225,225,1,3.315478599979542
583,gnp_uniform_mpg_225_1_9.edgelist.gz,225,225,1,3.5422703599906527
584,gnp_uniform_mpg_225_3_0.edgelist.gz,225,225,3,13.583245668007294
585,gnp_uniform_mpg_225_3_1.edgelist.gz,225,225,3,0.41362623099121265
586,gnp_uniform_mpg_225_3_2.edgelist.gz,225,225,3,13.77653676297632
587,gnp_uniform_mpg_225_3_3.edgelist.gz,225,225,3,0.3726484380022157
588,gnp_uniform_mpg_225_3_4.edgelist.gz,225,225,3,0.1321032170089893
589,gnp_uniform_mpg_225_3_5.edgelist.gz,225,225,3,0.11351832500076853
590,gnp_uniform_mpg_225_3_6.edgelist.gz,225,225,3,14.812401967006736
591,gnp_uniform_mpg_256_1_0.edgelist.gz,256,256,1,5.070884433982428
592,gnp_uniform_mpg_256_1_1.edgelist.gz,256,256,1,4.998128161998466
593,gnp_uniform_mpg_256_1_2.edgelist.gz,256,256,1,5.855061638983898
594,gnp_uniform_mpg_256_1_3.edgelist.gz,256,256,1,5.39829624799313
595,gnp_uniform_mpg_256_1_4.edgelist.gz,256,256,1,1.091699915996287
596,gnp_uniform_mpg_256_1_5.edgelist.gz,256,256,1,4.866046735987766
597,gnp_uniform_mpg_256_1_6.edgelist.gz,256,256,1,3.660498634999385
598,gnp_uniform_mpg_256_1_7.edgelist.gz,256,256,1,1.1337909740104806
599,gnp_uniform_mpg_256_1_8.edgelist.gz,256,256,1,4.875325594999595
600,gnp_uniform_mpg_256_1_9.edgelist.gz,256,256,1,0.8866694940079469
601,gnp_uniform_mpg_289_1_0.edgelist.gz,289,289,1,5.644446809979854
602,gnp_uniform_mpg_289_1_1.edgelist.gz,289,289,1,0.3348175919963978
603,gnp_uniform_mpg_289_1_2.edgelist.gz,289,289,1,6.80016901800991
604,gnp_uniform_mpg_289_1_3.edgelist.gz,289,289,1,5.048431528994115
605,gnp_uniform_mpg_289_1_4.edgelist.gz,289,289,1,4.861807705019601
606,gnp_uniform_mpg_289_1_5.edgelist.gz,289,289,1,2.8678396199829876
607,gnp_uniform_mpg_289_1_6.edgelist.gz,289,289,1,6.8234209310030565
608,gnp_uniform_mpg_289_1_7.edgelist.gz,289,289,1,5.877340701001231
609,gnp_uniform_mpg_289_1_8.edgelist.gz,289,289,1,1.3654799140058458
610,gnp_uniform_mpg_289_1_9.edgelist.gz,289,289,1,0.09265809500357136
611,gnp_uniform_mpg_324_1_0.edgelist.gz,324,324,1,7.961290290986653
612,gnp_uniform_mpg_324_1_1.edgelist.gz,324,324,1,5.984922858013306
613,gnp_uniform_mpg_324_1_2.edgelist.gz,324,324,1,7.409552721015643
614,gnp_uniform_mpg_324_1_3.edgelist.gz,324,324,1,7.83062174601946
615,gnp_uniform_mpg_324_1_4.edgelist.gz,324,324,1,4.42398687597597
616,gnp_uniform_mpg_324_1_5.edgelist.gz,324,324,1,4.93863973999396
617,gnp_uniform_mpg_324_1_6.edgelist.gz,324,324,1,5.112698245997308
618,gnp_uniform_mpg_324_1_7.edgelist.gz,324,324,1,7.439935617003357
619,gnp_uniform_mpg_324_1_8.edgelist.gz,324,324,1,1.3494640959834214
620,gnp_uniform_mpg_324_1_9.edgelist.gz,324,324,1,8.703751986991847
621,gnp_uniform_mpg_361_1_0.edgelist.gz,361,361,1,10.286786384996958
622,gnp_uniform_mpg_361_1_1.edgelist.gz,361,361,1,9.994920708995778
623,gnp_uniform_mpg_361_1_2.edgelist.gz,361,361,1,4.0112645589979365
624,gnp_uniform_mpg_361_1_3.edgelist.gz,361,361,1,3.786743151023984
625,gnp_uniform_mpg_361_1_4.edgelist.gz,361,361,1,11.417728484986583
626,gnp_uniform_mpg_361_1_5.edgelist.gz,361,361,1,10.378630924009485
627,gnp_uniform_mpg_361_1_6.edgelist.gz,361,361,1,3.6854015870194416
628,gnp_uniform_mpg_361_1_7.edgelist.gz,361,361,1,10.364921836997382
629,gnp_uniform_mpg_361_1_8.edgelist.gz,361,361,1,0.19625451398314908
630,gnp_uniform_mpg_361_1_9.edgelist.gz,361,361,1,10.935136658983538
631,gnp_uniform_mpg_400_1_0.edgelist.gz,400,400,1,0.3065454530005809
632,gnp_uniform_mpg_400_1_1.edgelist.gz,400,400,1,2.787197402998572
633,gnp_uniform_mpg_400_1_2.edgelist.gz,400,400,1,13.662344422016758
